Reference, Value, Footprint,Manufacturer ID,Purchase link,Datasheet
R_ChanAB_OAin_Rin1,10K,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanA_OAin_Rf1,10K,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanA_OAout_Rin1,22K,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanB_OAin_Rf1,10K,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanB_OAout_Rin1,22K,Resistors_SMD:R_0805_HandSoldering,,,
C_PW_BYNEG1,100nF,Capacitors_SMD:C_0805_HandSoldering,,,
C_PW_BYPOS1,100nF,Capacitors_SMD:C_0805_HandSoldering,,,
C_ChanB_BYPOS1,100nF,Capacitors_SMD:C_0805_HandSoldering,,,
C_ChanB_BYNEG1,100nF,Capacitors_SMD:C_0805_HandSoldering,,,
VR_FADER1,B50K,Bourn_PTL_Slider:Slider_PTL20_LED_35MM,RA2045F-20R-15LC-B50K-C,https://www.thonk.co.uk/shop/alpha-sliders/,
R_LED1,2K2,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanAB_OAin_Rin2,10K,Resistors_SMD:R_0805_HandSoldering,,,
VR_FADER2,B5K,Bourn_PTL_Slider:Slider_PTL20_LED_35MM,RA2045F-20R-15LC-B50K-C,https://www.thonk.co.uk/shop/alpha-sliders/,
R_LED2,2K2,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanAB_OAin_Rin3,10K,Resistors_SMD:R_0805_HandSoldering,,,
VR_FADER3,B50K,Bourn_PTL_Slider:Slider_PTL20_LED_35MM,RA2045F-20R-15LC-B50K-C,https://www.thonk.co.uk/shop/alpha-sliders/,
R_LED3,2K2,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanAB_OAin_Rin4,10K,Resistors_SMD:R_0805_HandSoldering,,,
VR_FADER4,B5K,Bourn_PTL_Slider:Slider_PTL20_LED_35MM,RA2045F-20R-15LC-B50K-C,https://www.thonk.co.uk/shop/alpha-sliders/,
R_LED4,2K2,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanAB_OAin_Rin5,10K,Resistors_SMD:R_0805_HandSoldering,,,
VR_FADER5,B50K,Bourn_PTL_Slider:Slider_PTL20_LED_35MM,RA2045F-20R-15LC-B50K-C,https://www.thonk.co.uk/shop/alpha-sliders/,
R_LED5,2K2,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanAB_OAin_Rin6,10K,Resistors_SMD:R_0805_HandSoldering,,,
VR_FADER6,B50K,Bourn_PTL_Slider:Slider_PTL20_LED_35MM,RA2045F-20R-15LC-B50K-C,https://www.thonk.co.uk/shop/alpha-sliders/,
R_LED6,2K2,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanAB_OAin_Rin7,10K,Resistors_SMD:R_0805_HandSoldering,,,
VR_FADER7,B50K,Bourn_PTL_Slider:Slider_PTL20_LED_35MM,RA2045F-20R-15LC-B50K-C,,
R_LED7,2K2,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanAB_OAin_Rin8,10K,Resistors_SMD:R_0805_HandSoldering,,,
VR_FADER8,B50K,Bourn_PTL_Slider:Slider_PTL20_LED_35MM,RA2045F-20R-15LC-B50K-C,,
R_LED8,2K2,Resistors_SMD:R_0805_HandSoldering,,,
U_ChanA_OA1,TL072_InversedInputs,SMD_Packages:SOIC-8-N,TL072CDR ,,
U_ChanB_OA1,TL072_InversedInputs,SMD_Packages:SOIC-8-N,TL072CDR ,,
C_ChanA_POSBY1,100nF,Capacitors_SMD:C_0805_HandSoldering,,,
C_ChanA_NEGBY1,100nF,Capacitors_SMD:C_0805_HandSoldering,,,
J_IN1,Audio-JackMono_Tip3_Sw2_Slv1,ThonkiConn_3:Conn_3.5mmJackMono_Vertical_PJ301M-12,PJ301M-12,https://www.thonk.co.uk/shop/3-5mm-jacks/,https://www.thonk.co.uk/wp-content/uploads/2014/02/Thonkiconn_Jack_Datasheet.pdf
J_IN2,Audio-JackMono_Tip3_Sw2_Slv1,ThonkiConn_3:Conn_3.5mmJackMono_Vertical_PJ301M-12,PJ301M-12,https://www.thonk.co.uk/shop/3-5mm-jacks/,https://www.thonk.co.uk/wp-content/uploads/2014/02/Thonkiconn_Jack_Datasheet.pdf
J_IN3,Audio-JackMono_Tip3_Sw2_Slv1,ThonkiConn_3:Conn_3.5mmJackMono_Vertical_PJ301M-12,PJ301M-12,https://www.thonk.co.uk/shop/3-5mm-jacks/,https://www.thonk.co.uk/wp-content/uploads/2014/02/Thonkiconn_Jack_Datasheet.pdf
J_IN4,Audio-JackMono_Tip3_Sw2_Slv1,ThonkiConn_3:Conn_3.5mmJackMono_Vertical_PJ301M-12,PJ301M-12,https://www.thonk.co.uk/shop/3-5mm-jacks/,https://www.thonk.co.uk/wp-content/uploads/2014/02/Thonkiconn_Jack_Datasheet.pdf
J_IN5,Audio-JackMono_Tip3_Sw2_Slv1,ThonkiConn_3:Conn_3.5mmJackMono_Vertical_PJ301M-12,PJ301M-12,https://www.thonk.co.uk/shop/3-5mm-jacks/,https://www.thonk.co.uk/wp-content/uploads/2014/02/Thonkiconn_Jack_Datasheet.pdf
J_IN6,Audio-JackMono_Tip3_Sw2_Slv1,ThonkiConn_3:Conn_3.5mmJackMono_Vertical_PJ301M-12,PJ301M-12,https://www.thonk.co.uk/shop/3-5mm-jacks/,https://www.thonk.co.uk/wp-content/uploads/2014/02/Thonkiconn_Jack_Datasheet.pdf
J_IN7,Audio-JackMono_Tip3_Sw2_Slv1,ThonkiConn_3:Conn_3.5mmJackMono_Vertical_PJ301M-12,PJ301M-12,https://www.thonk.co.uk/shop/3-5mm-jacks/,https://www.thonk.co.uk/wp-content/uploads/2014/02/Thonkiconn_Jack_Datasheet.pdf
